geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,geolocation_state_name,geolocation_region
1039,-23.54121489487162,-46.638913511868594,sao paulo,SP,São Paulo,Southeast
1026,-23.539639404937706,-46.63215384647908,sao paulo,SP,São Paulo,Southeast
1038,-23.543879126646612,-46.63995414482916,sao paulo,SP,São Paulo,Southeast
1016,-23.549094879405775,-46.632111638548466,sao paulo,SP,São Paulo,Southeast
1021,-23.54283546451365,-46.632099226263165,sao paulo,SP,São Paulo,Southeast
1044,-23.545556845099416,-46.64150085333575,sao paulo,SP,São Paulo,Southeast
1049,-23.54748584739232,-46.63965922482542,sao paulo,SP,São Paulo,Southeast
1019,-23.55176219310775,-46.63085454231535,sao paulo,SP,São Paulo,Southeast
1003,-23.548999834572523,-46.6355816587524,sao paulo,SP,São Paulo,Southeast
1002,-23.547657125819924,-46.634990509252304,sao paulo,SP,São Paulo,Southeast
1001,-23.55022651431653,-46.63403856911852,sao paulo,SP,São Paulo,Southeast
1004,-23.54982914119189,-46.634792029508745,sao paulo,SP,São Paulo,Southeast
1030,-23.540250348896965,-46.633066558397196,sao paulo,SP,São Paulo,Southeast
1025,-23.54030305184919,-46.63108692434232,sao paulo,SP,São Paulo,Southeast
1023,-23.542358619043885,-46.63136439141381,sao paulo,SP,São Paulo,Southeast
1005,-23.549547473955094,-46.63640612884047,sao paulo,SP,São Paulo,Southeast
1042,-23.54478500857678,-46.64051906455985,sao paulo,SP,São Paulo,Southeast
1040,-23.54114254889919,-46.63848150816681,sao paulo,SP,São Paulo,Southeast
1022,-23.5447808268089,-46.632062988389954,são paulo,SP,São Paulo,Southeast
1028,-23.535984997728484,-46.63331686707666,são paulo,SP,São Paulo,Southeast
1006,-23.550126527377728,-46.63604449748152,sao paulo,SP,São Paulo,Southeast
1018,-23.55135443999642,-46.632762349404075,sao paulo,SP,São Paulo,Southeast
1043,-23.54565351235498,-46.64157516374282,sao paulo,SP,São Paulo,Southeast
1010,-23.546667245013698,-46.63540396425167,sao paulo,SP,São Paulo,Southeast
1024,-23.541311511033662,-46.62987872437637,sao paulo,SP,São Paulo,Southeast
1155,-23.529391971579162,-46.66284154315641,sao paulo,SP,São Paulo,Southeast
1139,-23.520559292203,-46.66629980234888,sao paulo,SP,São Paulo,Southeast
1153,-23.531393742087573,-46.65251209386632,são paulo,SP,São Paulo,Southeast
1136,-23.524227692401496,-46.660871214751204,são paulo,SP,São Paulo,Southeast
1130,-23.524811963718196,-46.644911697855385,sao paulo,SP,São Paulo,Southeast
1156,-23.52968273786237,-46.66510613992003,são paulo,SP,São Paulo,Southeast
1122,-23.53106391760046,-46.638626629130016,sao paulo,SP,São Paulo,Southeast
1151,-23.531308582122403,-46.656689732496204,sao paulo,SP,São Paulo,Southeast
1120,-23.529974618201887,-46.6396120369992,sao paulo,SP,São Paulo,Southeast
1106,-23.530213043765993,-46.62817277612975,sao paulo,SP,São Paulo,Southeast
1121,-23.52770080740106,-46.63501591239576,sao paulo,SP,São Paulo,Southeast
1141,-23.521022171115465,-46.667535814186316,são paulo,SP,São Paulo,Southeast
1102,-23.527449444654916,-46.630814386890506,são paulo,SP,São Paulo,Southeast
1140,-23.52010865642941,-46.66950277500301,sao paulo,SP,São Paulo,Southeast
1138,-23.522198074719913,-46.654774012697544,sao paulo,SP,São Paulo,Southeast
1128,-23.523949985029173,-46.642265775876474,sao paulo,SP,São Paulo,Southeast
1109,-23.524742023073763,-46.626928981251915,sao paulo,SP,São Paulo,Southeast
1103,-23.53559638353518,-46.62904496985183,sao paulo,SP,São Paulo,Southeast
1107,-23.527108941080648,-46.62856245072097,sao paulo,SP,São Paulo,Southeast
1135,-23.52553172479808,-46.65156752952969,são paulo,SP,São Paulo,Southeast
1125,-23.526973050419656,-46.64038788039167,sao paulo,SP,São Paulo,Southeast
1132,-23.52249954133886,-46.648515374210525,sao paulo,SP,São Paulo,Southeast
1127,-23.525664165329083,-46.6418748829316,sao paulo,SP,São Paulo,Southeast
1154,-23.53027086555545,-46.65936982055716,sao paulo,SP,São Paulo,Southeast
1152,-23.53011043146301,-46.655797677544044,sao paulo,SP,São Paulo,Southeast
1134,-23.519484462073596,-46.651667399070604,são paulo,SP,São Paulo,Southeast
1150,-23.532786436573087,-46.658459923150886,sao paulo,SP,São Paulo,Southeast
1129,-23.523812480376826,-46.64387822923278,sao paulo,SP,São Paulo,Southeast
1131,-23.522385125791487,-46.63935625466215,sao paulo,SP,São Paulo,Southeast
1123,-23.52907864367055,-46.63641980300659,sao paulo,SP,São Paulo,Southeast
1126,-23.52728829266091,-46.639533719614995,sao paulo,SP,São Paulo,Southeast
1144,-23.523633701899385,-46.67239968789116,sao paulo,SP,São Paulo,Southeast
1142,-23.51993430515264,-46.6251300217966,sao paulo,SP,São Paulo,Southeast
1124,-23.528361038348763,-46.63330445274645,sao paulo,SP,São Paulo,Southeast
1137,-23.522767662334495,-46.653450070470186,sao paulo,SP,São Paulo,Southeast
1105,-23.534160979143845,-46.62904232881417,sao paulo,SP,São Paulo,Southeast
1104,-23.534957712733355,-46.62947208379825,são paulo,SP,São Paulo,Southeast
1133,-23.519990916902305,-46.65377696841709,sao paulo,SP,São Paulo,Southeast
1108,-23.527232171325494,-46.63035441819986,sao paulo,SP,São Paulo,Southeast
1101,-23.528286860378213,-46.631957535031056,sao paulo,SP,São Paulo,Southeast
1189,-23.53210825506378,-46.63839470107914,sao paulo,SP,São Paulo,Southeast
1202,-23.533772555182345,-46.64819720266783,são paulo,SP,São Paulo,Southeast
1230,-23.536669097977796,-46.65761144150682,sao paulo,SP,São Paulo,Southeast
1217,-23.532207906217486,-46.648509395381616,sao paulo,SP,São Paulo,Southeast
1257,-23.543706512487724,-46.68756203914493,sao paulo,SP,São Paulo,Southeast
1216,-23.53263053394003,-46.64699694085973,sao paulo,SP,São Paulo,Southeast
1220,-23.544499798153137,-46.646104831718816,sao paulo,SP,São Paulo,Southeast
1223,-23.54413938233547,-46.64891674152706,sao paulo,SP,São Paulo,Southeast
1231,-23.537096648415883,-46.65926570143359,sao paulo,SP,São Paulo,Southeast
1226,-23.5385494519309,-46.65291063474351,são paulo,SP,São Paulo,Southeast
1213,-23.536758588421268,-46.64064130343515,sao paulo,SP,São Paulo,Southeast
1240,-23.54359936019768,-46.659049168013674,sao paulo,SP,São Paulo,Southeast
1211,-23.53744597798801,-46.649102574587346,sao paulo,SP,São Paulo,Southeast
1258,-23.54403150243633,-46.686531973013096,são paulo,SP,São Paulo,Southeast
1244,-23.563367165821422,-46.65943750475835,sao paulo,SP,São Paulo,Southeast
1214,-23.53858459468149,-46.64484042858082,sao paulo,SP,São Paulo,Southeast
1228,-23.54735418918535,-46.657820817126435,sao paulo,SP,São Paulo,Southeast
1204,-23.536141937288576,-46.64399330441307,sao paulo,SP,São Paulo,Southeast
1221,-23.544606506635503,-46.64817089240571,sao paulo,SP,São Paulo,Southeast
1218,-23.530937627052918,-46.647780604683305,são paulo,SP,São Paulo,Southeast
1227,-23.54912803704004,-46.6596414166489,sao paulo,SP,São Paulo,Southeast
1224,-23.541672681196363,-46.65237619658937,sao paulo,SP,São Paulo,Southeast
1239,-23.545153425822598,-46.64317356287711,sao paulo,SP,São Paulo,Southeast
1205,-23.53546316966787,-46.643450964542055,são paulo,SP,São Paulo,Southeast
1259,-23.541254389496217,-46.68557134978741,sao paulo,SP,São Paulo,Southeast
1203,-23.535408892541994,-46.645723972796574,sao paulo,SP,São Paulo,Southeast
1229,-23.53871217989392,-46.65723810820812,sao paulo,SP,São Paulo,Southeast
1232,-23.536213693349556,-46.65809772109564,sao paulo,SP,São Paulo,Southeast
1238,-23.542599692001517,-46.65445522299525,sao paulo,SP,São Paulo,Southeast
1222,-23.545988762278032,-46.649524511123616,sao paulo,SP,São Paulo,Southeast
1201,-23.536094768181353,-46.64976590706884,sao paulo,SP,São Paulo,Southeast
1210,-23.53982022037583,-46.64183340358581,são paulo,SP,São Paulo,Southeast
1212,-23.538540318911434,-46.63935594349955,são paulo,SP,São Paulo,Southeast
1215,-23.536236260349227,-46.64762019602469,sao paulo,SP,São Paulo,Southeast
1248,-23.54768470191586,-46.66813363551657,sao paulo,SP,São Paulo,Southeast
1209,-23.540612661956292,-46.641347453493026,sao paulo,SP,São Paulo,Southeast
1236,-23.54386498192979,-46.66750719706018,sao paulo,SP,São Paulo,Southeast
1207,-23.53913992882636,-46.63867570977421,sao paulo,SP,São Paulo,Southeast
1251,-23.548442854702696,-46.674923612206626,são paulo,SP,São Paulo,Southeast
1242,-23.54630628244333,-46.65901714990944,sao paulo,SP,São Paulo,Southeast
1233,-23.53663114394438,-46.66182778463712,sao paulo,SP,São Paulo,Southeast
1208,-23.538367078545242,-46.63879954633097,sao paulo,SP,São Paulo,Southeast
1241,-23.545555732848044,-46.65765284919993,sao paulo,SP,São Paulo,Southeast
1255,-23.54657532453993,-46.681496934705436,sao paulo,SP,São Paulo,Southeast
1243,-23.54815152755637,-46.65935285678267,sao paulo,SP,São Paulo,Southeast
1254,-23.54388777568672,-46.68024841587811,sao paulo,SP,São Paulo,Southeast
1225,-23.539856577701215,-46.64917919353022,sao paulo,SP,São Paulo,Southeast
1206,-23.535838659696864,-46.64284760081634,sao paulo,SP,São Paulo,Southeast
1234,-23.539220182854773,-46.6641176622127,sao paulo,SP,São Paulo,Southeast
1245,-23.549968175893667,-46.66368563589192,sao paulo,SP,São Paulo,Southeast
1252,-23.541680529839347,-46.679704277654196,sao paulo,SP,São Paulo,Southeast
1250,-23.54760836078643,-46.672007305951915,sao paulo,SP,São Paulo,Southeast
1246,-23.553120462781344,-46.66584243925034,são paulo,SP,São Paulo,Southeast
1219,-23.541447067213483,-46.645544362213165,sao paulo,SP,São Paulo,Southeast
1235,-23.537003186728093,-46.66489008549514,sao paulo,SP,São Paulo,Southeast
1262,-23.550856391462712,-46.67735184892536,sao paulo,SP,São Paulo,Southeast
1249,-23.54889166953278,-46.67176141023075,são paulo,SP,São Paulo,Southeast
1237,-23.543300511167462,-46.6687558682218,sao paulo,SP,São Paulo,Southeast
1253,-23.54492912635292,-46.679164692087,sao paulo,SP,São Paulo,Southeast
1247,-23.55063807285042,-46.66865580450115,são paulo,SP,São Paulo,Southeast
1256,-23.54769704274337,-46.68297314757341,são paulo,SP,São Paulo,Southeast
1303,-23.549321492348604,-46.648848759648295,sao paulo,SP,São Paulo,Southeast
1310,-23.561329943210232,-46.65638465454749,sao paulo,SP,São Paulo,Southeast
1323,-23.565679044541366,-46.64141383163772,sao paulo,SP,São Paulo,Southeast
1333,-23.566348548726992,-46.64760622240209,sao paulo,SP,São Paulo,Southeast
1318,-23.562257662877652,-46.6436841568686,sao paulo,SP,São Paulo,Southeast
1322,-23.563263567756845,-46.643561893381495,sao paulo,SP,São Paulo,Southeast
1331,-23.562456664519235,-46.650019822132165,sao paulo,SP,São Paulo,Southeast
1308,-23.556069598242864,-46.65332742301926,são paulo,SP,São Paulo,Southeast
1301,-23.549633032959857,-46.65151484009199,sao paulo,SP,São Paulo,Southeast
1312,-23.55473317458524,-46.64961654900895,sao paulo,SP,São Paulo,Southeast
1319,-23.552163161960507,-46.640900037146736,são paulo,SP,São Paulo,Southeast
1316,-23.553061215274745,-46.63929764396129,sao paulo,SP,São Paulo,Southeast
1321,-23.561857328043537,-46.641877138248525,sao paulo,SP,São Paulo,Southeast
1313,-23.555822055843848,-46.65028190318238,sao paulo,SP,São Paulo,Southeast
1307,-23.55228483621895,-46.653313892220474,sao paulo,SP,São Paulo,Southeast
1314,-23.55309992176798,-46.64563162818801,sao paulo,SP,São Paulo,Southeast
1327,-23.564204335687023,-46.645146397366986,sao paulo,SP,São Paulo,Southeast
1304,-23.55406401792284,-46.65518056037356,sao paulo,SP,São Paulo,Southeast
1309,-23.555257535271156,-46.65848354612539,sao paulo,SP,São Paulo,Southeast
1332,-23.559686969008755,-46.652537651217074,sao paulo,SP,São Paulo,Southeast
1302,-23.550250186398454,-46.65280613583013,sao paulo,SP,São Paulo,Southeast
1326,-23.55686004744489,-46.645289576726036,sao paulo,SP,São Paulo,Southeast
1317,-23.55822227112297,-46.641407980683994,sao paulo,SP,São Paulo,Southeast
1330,-23.559165812556024,-46.64943517280505,sao paulo,SP,São Paulo,Southeast
1306,-23.55449832551636,-46.6502354821214,sao paulo,SP,São Paulo,Southeast
1311,-23.564554154458794,-46.652440262226605,sao paulo,SP,São Paulo,Southeast
1305,-23.553058669808312,-46.653268424800615,sao paulo,SP,São Paulo,Southeast
1329,-23.561452064197862,-46.64722094715724,sao paulo,SP,São Paulo,Southeast
1315,-23.553616714461256,-46.64053575583769,são paulo,SP,São Paulo,Southeast
1325,-23.55725440990539,-46.64445512329093,sao paulo,SP,São Paulo,Southeast
1320,-23.557851556542772,-46.639307743755936,sao paulo,SP,São Paulo,Southeast
1328,-23.55637249949658,-46.64699330203809,sao paulo,SP,São Paulo,Southeast
1324,-23.556285502845864,-46.64315959574335,sao paulo,SP,São Paulo,Southeast
1421,-23.562949475308155,-46.660599024334125,são paulo,SP,São Paulo,Southeast
1403,-23.568979809928187,-46.65355168476891,são paulo,SP,São Paulo,Southeast
1411,-23.56460360685005,-46.66430656705065,sao paulo,SP,São Paulo,Southeast
1452,-23.57857388299186,-46.68877948597523,sao paulo,SP,São Paulo,Southeast
1417,-23.552586331915855,-46.62704697483209,sao paulo,SP,São Paulo,Southeast
1408,-23.567381916355064,-46.66109421670541,sao paulo,SP,São Paulo,Southeast
1455,-23.580483305702835,-46.69123733520309,sao paulo,SP,São Paulo,Southeast
1401,-23.57675106551015,-46.6598071460299,sao paulo,SP,São Paulo,Southeast
1410,-23.56395059226411,-46.66208479253637,sao paulo,SP,São Paulo,Southeast
1453,-23.583724833573584,-46.68615882337795,sao paulo,SP,São Paulo,Southeast
1415,-23.557061404360073,-46.661346303689655,sao paulo,SP,São Paulo,Southeast
1409,-23.56290321393755,-46.65964665497069,sao paulo,SP,São Paulo,Southeast
1416,-23.56130561920034,-46.66770847197512,sao paulo,SP,São Paulo,Southeast
1419,-23.56371573846623,-46.65574409232211,sao paulo,SP,São Paulo,Southeast
1414,-23.56032011201428,-46.664248344795425,são paulo,SP,São Paulo,Southeast
1420,-23.563549193165926,-46.65774176782782,sao paulo,SP,São Paulo,Southeast
1451,-23.57803920038099,-46.6865788067161,sao paulo,SP,São Paulo,Southeast
1406,-23.57416323435587,-46.669158282396246,são paulo,SP,São Paulo,Southeast
1445,-23.571796772474606,-46.687847363755665,sao paulo,SP,São Paulo,Southeast
1449,-23.57627703208717,-46.68019669591213,sao paulo,SP,São Paulo,Southeast
1405,-23.56504417336853,-46.655393719521264,sao paulo,SP,São Paulo,Southeast
1425,-23.572837970145184,-46.659234947512424,sao paulo,SP,São Paulo,Southeast
1424,-23.567711976947297,-46.66173364253699,sao paulo,SP,São Paulo,Southeast
1423,-23.56916811631038,-46.65740614455071,sao paulo,SP,São Paulo,Southeast
1404,-23.56894891405555,-46.65617810867677,sao paulo,SP,São Paulo,Southeast
1402,-23.577515343845434,-46.66048578748153,sao paulo,SP,São Paulo,Southeast
1422,-23.56399063392532,-46.66109255280648,sao paulo,SP,São Paulo,Southeast
1443,-23.56861062234491,-46.684704509316845,sao paulo,SP,São Paulo,Southeast
1407,-23.575975593053435,-46.671186599913604,sao paulo,SP,São Paulo,Southeast
1418,-23.56640122364736,-46.65238933301679,sao paulo,SP,São Paulo,Southeast
1454,-23.582905734254833,-46.687376561884584,sao paulo,SP,São Paulo,Southeast
1426,-23.565476064930532,-46.66648671871091,são paulo,SP,São Paulo,Southeast
1433,-23.578553463727257,-46.6683400138493,sao paulo,SP,São Paulo,Southeast
1427,-23.570931910984548,-46.66421632951131,sao paulo,SP,São Paulo,Southeast
1413,-23.562411007714505,-46.66465308304766,sao paulo,SP,São Paulo,Southeast
1432,-23.576546426787797,-46.6657178615343,sao paulo,SP,São Paulo,Southeast
1441,-23.572255657882376,-46.68584955063061,são paulo,SP,São Paulo,Southeast
1446,-23.57555631780954,-46.67578238597563,sao paulo,SP,São Paulo,Southeast
1489,-23.57664998889148,-46.68740004775216,sao paulo,SP,São Paulo,Southeast
1450,-23.57630893024218,-46.68521801947601,sao paulo,SP,São Paulo,Southeast
1429,-23.57654049111893,-46.662838807879865,sao paulo,SP,São Paulo,Southeast
1440,-23.568117450490668,-46.67811068937205,sao paulo,SP,São Paulo,Southeast
1435,-23.57951297149201,-46.67005980367965,são paulo,SP,São Paulo,Southeast
1412,-23.563643745218126,-46.66601818429094,sao paulo,SP,São Paulo,Southeast
1442,-23.569174563537135,-46.68178916472229,sao paulo,SP,São Paulo,Southeast
1438,-23.569713527958854,-46.672178342215375,sao paulo,SP,São Paulo,Southeast
1456,-23.576514127649784,-46.69117717493797,sao paulo,SP,São Paulo,Southeast
1457,-23.574854293988327,-46.69281800198814,sao paulo,SP,São Paulo,Southeast
1428,-23.57388645298505,-46.66249529865479,sao paulo,SP,São Paulo,Southeast
1436,-23.57245538592821,-46.66798871616942,sao paulo,SP,São Paulo,Southeast
1439,-23.566289488092035,-46.673571417782284,sao paulo,SP,São Paulo,Southeast
1448,-23.577942110507887,-46.679454529838985,sao paulo,SP,São Paulo,Southeast
1444,-23.573235541829785,-46.68752695447545,sao paulo,SP,São Paulo,Southeast
1437,-23.5721412540443,-46.67150329618942,sao paulo,SP,São Paulo,Southeast
1431,-23.634544623098908,-46.66369560512664,sao paulo,SP,São Paulo,Southeast
1434,-23.57530520853306,-46.67177600421405,sao paulo,SP,São Paulo,Southeast
1430,-23.68819140103468,-46.65951253128811,sao paulo,SP,São Paulo,Southeast
1472,-23.57054369248079,-46.69129667943905,sao paulo,SP,São Paulo,Southeast
1447,-23.572849126824135,-46.678860660738785,sao paulo,SP,São Paulo,Southeast
1526,-23.565399590302142,-46.63109191570508,sao paulo,SP,São Paulo,Southeast
1509,-23.566832066404487,-46.63584489702725,sao paulo,SP,São Paulo,Southeast
1511,-23.561293924034008,-46.63305882665812,sao paulo,SP,São Paulo,Southeast
1534,-23.568431190212113,-46.626458730371816,sao paulo,SP,São Paulo,Southeast
1532,-23.570997714203987,-46.63587379922028,sao paulo,SP,São Paulo,Southeast
1536,-23.569612117417815,-46.623493993750614,sao paulo,SP,São Paulo,Southeast
1506,-23.55911726124465,-46.6350922514345,são paulo,SP,São Paulo,Southeast
1510,-23.557409090365354,-46.633565209989705,sao paulo,SP,São Paulo,Southeast
1537,-23.570684649673723,-46.6223617936767,sao paulo,SP,São Paulo,Southeast
1529,-23.56837362931945,-46.63447079473963,sao paulo,SP,São Paulo,Southeast
1549,-23.57663446425778,-46.615841451339506,sao paulo,SP,São Paulo,Southeast
1533,-23.571130225404286,-46.63821483181699,sao paulo,SP,São Paulo,Southeast
1550,-23.573438663564385,-46.616252885287196,sao paulo,SP,São Paulo,Southeast
1503,-23.558229674291965,-46.63702582659861,são paulo,SP,São Paulo,Southeast
1508,-23.561410470038876,-46.636172985504075,sao paulo,SP,São Paulo,Southeast
1519,-23.56079071597131,-46.62521368905546,sao paulo,SP,São Paulo,Southeast
1547,-23.582894774992642,-46.62118115690777,sao paulo,SP,São Paulo,Southeast
1523,-23.564345049807727,-46.616993683128364,sao paulo,SP,São Paulo,Southeast
1538,-23.578809901563513,-46.62421002988477,são paulo,SP,São Paulo,Southeast
1501,-23.55251976980926,-46.635547998881385,são paulo,SP,São Paulo,Southeast
1530,-23.569501343500534,-46.6315328589168,sao paulo,SP,São Paulo,Southeast
1531,-23.570673884251654,-46.632504906302586,sao paulo,SP,São Paulo,Southeast
1505,-23.55526761118644,-46.63182476204627,são paulo,SP,São Paulo,Southeast
1551,-23.572547440143047,-46.61254488181933,sao paulo,SP,São Paulo,Southeast
1522,-23.560871853164162,-46.61662910534733,sao paulo,SP,São Paulo,Southeast
1502,-23.554403252583064,-46.635409486590675,são paulo,SP,São Paulo,Southeast
1544,-23.577124957374096,-46.621762815518636,sao paulo,SP,São Paulo,Southeast
1520,-23.55999397935776,-46.61977157814168,sao paulo,SP,São Paulo,Southeast
1535,-23.572312600634277,-46.62506846690141,sao paulo,SP,São Paulo,Southeast
1541,-23.56943788150824,-46.618519585794495,sao paulo,SP,São Paulo,Southeast
1513,-23.548522160769153,-46.60450558904148,sao paulo,SP,São Paulo,Southeast
1527,-23.562680141983,-46.628591712171755,sao paulo,SP,São Paulo,Southeast
1507,-23.558160046336024,-46.631672959952866,são paulo,SP,São Paulo,Southeast
1504,-23.567009825101955,-46.639497693566994,sao paulo,SP,São Paulo,Southeast
1552,-23.569869620579357,-46.61149860565883,sao paulo,SP,São Paulo,Southeast
1525,-23.564073565029716,-46.634878447202176,sao paulo,SP,São Paulo,Southeast
1548,-23.577077266282803,-46.613441560141695,sao paulo,SP,São Paulo,Southeast
1524,-23.56886940560332,-46.6096135884112,sao paulo,SP,São Paulo,Southeast
1542,-23.570952878585246,-46.62456691443145,sao paulo,SP,São Paulo,Southeast
1528,-23.56458292348448,-46.62680776724283,sao paulo,SP,São Paulo,Southeast
1539,-23.57087584277023,-46.620464698142726,sao paulo,SP,São Paulo,Southeast
1543,-23.57237801046583,-46.6254053693628,sao paulo,SP,São Paulo,Southeast
1545,-23.58062205235887,-46.61852873530774,são paulo,SP,São Paulo,Southeast
1516,-23.55855740893871,-46.61713633276943,sao paulo,SP,São Paulo,Southeast
1512,-23.553656036886174,-46.629636040530315,sao paulo,SP,São Paulo,Southeast
1546,-23.57939661507366,-46.621894994144,sao paulo,SP,São Paulo,Southeast
1521,-23.561301059988065,-46.620353465576,sao paulo,SP,São Paulo,Southeast
1517,-23.559987904798337,-46.62439051996171,sao paulo,SP,São Paulo,Southeast
1540,-23.565801649688755,-46.623054332586484,são paulo,SP,São Paulo,Southeast
1514,-23.555379893183947,-46.628857847576874,são paulo,SP,São Paulo,Southeast
1553,-23.574567143515043,-46.6089904532793,são paulo,SP,São Paulo,Southeast
1518,-23.559443711700744,-46.62357347648088,sao paulo,SP,São Paulo,Southeast
2075,-23.505350658502802,-46.60201093145705,sao paulo,SP,São Paulo,Southeast
2035,-23.496589946807156,-46.6229360117536,são paulo,SP,São Paulo,Southeast
2034,-23.50377600364244,-46.62406442241877,sao paulo,SP,São Paulo,Southeast
2021,-23.498261292557494,-46.635460753775774,sao paulo,SP,São Paulo,Southeast
2066,-23.507840484939948,-46.606296593992006,sao paulo,SP,São Paulo,Southeast
2085,-23.49766044813664,-46.6128047353366,sao paulo,SP,São Paulo,Southeast
2030,-23.505871338521406,-46.62468256911272,sao paulo,SP,São Paulo,Southeast
2064,-23.51744823124662,-46.59892718527533,sao paulo,SP,São Paulo,Southeast
2012,-23.512200220591897,-46.631960966953564,sao paulo,SP,São Paulo,Southeast
2022,-23.50410125721163,-46.63829319412561,sao paulo,SP,São Paulo,Southeast
2060,-23.51884081883105,-46.60327522988799,sao paulo,SP,São Paulo,Southeast
2018,-23.495570880809254,-46.62970223827081,sao paulo,SP,São Paulo,Southeast
2043,-23.490089078952916,-46.616102338527476,sao paulo,SP,São Paulo,Southeast
2029,-23.508385015787166,-46.61826528713893,sao paulo,SP,São Paulo,Southeast
2038,-23.495258298405655,-46.624001219170424,sao paulo,SP,São Paulo,Southeast
2067,-23.50685702694346,-46.60320391152097,sao paulo,SP,São Paulo,Southeast
2069,-23.505760108905914,-46.61392443901507,são paulo,SP,São Paulo,Southeast
2040,-23.48996976536854,-46.62212787901506,sao paulo,SP,São Paulo,Southeast
2051,-23.511720457124188,-46.60860973177694,sao paulo,SP,São Paulo,Southeast
2020,-23.496624662919192,-46.6330588082965,sao paulo,SP,São Paulo,Southeast
2039,-23.4928964258801,-46.621700061959096,sao paulo,SP,São Paulo,Southeast
2017,-23.500866856450383,-46.634812021590626,sao paulo,SP,São Paulo,Southeast
2073,-23.501799517463255,-46.60723347018064,sao paulo,SP,São Paulo,Southeast
2033,-23.499831485760744,-46.61474243098405,sao paulo,SP,São Paulo,Southeast
2041,-23.49158257108473,-46.624198749487654,sao paulo,SP,São Paulo,Southeast
2082,-23.494544380783452,-46.60680141406355,sao paulo,SP,São Paulo,Southeast
2013,-23.50225798937993,-46.63312447104625,sao paulo,SP,São Paulo,Southeast
2037,-23.499778165479007,-46.62037848684694,sao paulo,SP,São Paulo,Southeast
2083,-23.49485049868296,-46.59811142507812,sao paulo,SP,São Paulo,Southeast
2079,-23.499123554670856,-46.60638467988191,sao paulo,SP,São Paulo,Southeast
2072,-23.49999195177041,-46.603212899476965,sao paulo,SP,São Paulo,Southeast
2071,-23.504667311613776,-46.60546916827984,sao paulo,SP,São Paulo,Southeast
2047,-23.517709186245636,-46.61709040463799,sao paulo,SP,São Paulo,Southeast
2068,-23.50556608820062,-46.61217657586375,sao paulo,SP,São Paulo,Southeast
2084,-23.49730989439956,-46.59970886476793,sao paulo,SP,São Paulo,Southeast
2055,-23.514351660437352,-46.60603943195834,sao paulo,SP,São Paulo,Southeast
2042,-23.49436867952203,-46.61622927697678,sao paulo,SP,São Paulo,Southeast
2045,-23.496060615084023,-46.61639620812608,sao paulo,SP,São Paulo,Southeast
2078,-23.50199905501604,-46.596958843843645,sao paulo,SP,São Paulo,Southeast
2076,-23.504383139161035,-46.599128767880934,sao paulo,SP,São Paulo,Southeast
2074,-23.504964024565304,-46.600995494947085,sao paulo,SP,São Paulo,Southeast
2046,-23.49276978346746,-46.61183759364892,sao paulo,SP,São Paulo,Southeast
2010,-23.5086103775963,-46.62632629566373,são paulo,SP,São Paulo,Southeast
2081,-23.495841332603625,-46.60469932466566,sao paulo,SP,São Paulo,Southeast
