,Year,Country,Spending_USD,Life_Expectancy
113,1994,Germany,2188.676,76.5
114,1994,France,1817.042,78.0
115,1994,Great Britain,1058.68,76.8
116,1994,Japan,1420.271,79.8
117,1994,USA,3432.101,75.7
118,1995,Canada,1984.944,78.0
119,1995,Germany,2349.145,76.6
120,1995,France,2100.918,78.1
121,1995,Great Britain,1094.034,76.7
122,1995,Japan,1413.445,79.6
123,1995,USA,3586.745,75.7
124,1996,Canada,1999.778,78.2
125,1996,Germany,2480.217,76.9
126,1996,France,2169.451,78.2
127,1996,Great Britain,1171.591,76.9
128,1996,Japan,1436.372,80.3
129,1996,USA,4158.928,76.1
130,1997,Canada,2091.997,78.3
131,1997,Germany,2496.201,77.3
132,1997,France,2236.595,78.6
133,1997,Great Britain,1507.352,77.2
134,1997,Japan,1529.586,80.5
135,1997,USA,3894.282,76.5
136,1998,Canada,2200.468,78.6
137,1998,Germany,2566.003,77.7
138,1998,France,2321.931,78.8
139,1998,Great Britain,1572.097,77.3
140,1998,Japan,1571.107,80.6
141,1998,USA,4061.536,76.7
142,1999,Canada,2278.254,78.8
143,1999,Germany,2697.878,77.9
144,1999,France,2431.303,78.9
145,1999,Great Britain,1683.905,77.5
146,1999,Japan,1667.922,80.5
147,1999,USA,4261.996,76.7
148,2000,Canada,2450.593,79.1
149,2000,Germany,2895.533,78.2
150,2000,France,2687.53,79.2
151,2000,Great Britain,1897.202,77.9
152,2000,Japan,1847.786,81.2
153,2000,USA,4536.561,76.7
154,2001,Canada,2624.293,79.3
155,2001,Germany,3009.368,78.5
156,2001,France,2875.294,79.3
157,2001,Great Britain,2067.167,78.2
158,2001,Japan,1945.556,81.5
159,2001,USA,4888.518,76.9
160,2002,Canada,2758.065,79.5
161,2002,Germany,3239.77,78.5
162,2002,France,3152.016,79.4
163,2002,Great Britain,2287.476,78.3
164,2002,Japan,2065.133,81.8
165,2002,USA,5316.522,77.0
166,2003,Canada,2914.206,79.6
167,2003,Germany,3329.374,78.6
168,2003,France,3056.265,79.3
169,2003,Great Britain,2469.159,78.4
170,2003,Japan,2194.437,81.8
171,2003,USA,5726.538,77.1
172,2004,Canada,3122.396,79.9
173,2004,Germany,3391.521,79.2
174,2004,France,3170.947,80.3
175,2004,Great Britain,2724.869,79.0
176,2004,Japan,2303.68,82.1
177,2004,USA,6069.53,77.6
178,2005,Canada,3291.912,80.0
179,2005,Germany,3429.955,79.4
180,2005,France,3264.574,80.4
181,2005,Great Britain,2731.445,79.2
182,2005,Japan,2471.186,82.0
183,2005,USA,6430.757,77.6
184,2006,Canada,3486.621,80.4
185,2006,Germany,3567.061,79.8
186,2006,France,3444.855,81.0
187,2006,Great Britain,2952.329,79.5
188,2006,Japan,2561.219,82.4
189,2006,USA,6808.054,77.8
190,2007,Canada,3709.615,80.5
191,2007,Germany,3750.787,80.1
192,2007,France,3588.227,81.2
193,2007,Great Britain,3021.671,79.7
194,2007,Japan,2689.916,82.6
195,2007,USA,7166.513,78.1
196,2008,Canada,3849.544,80.7
197,2008,Germany,3955.136,80.2
198,2008,France,3729.353,81.4
199,2008,Great Britain,3207.853,79.8
200,2008,Japan,2799.198,82.7
201,2008,USA,7385.026,78.1
202,2009,Canada,3945.873,80.9
203,2009,Germany,4158.266,80.3
204,2009,France,3880.842,81.5
205,2009,Great Britain,3334.506,80.4
206,2009,Japan,2971.377,83.0
207,2009,USA,7645.002,78.5
208,2010,Canada,4155.529,81.2
209,2010,Germany,4423.07,80.5
210,2010,France,4045.065,81.8
211,2010,Great Britain,3441.71,80.6
212,2010,Japan,3169.19,82.9
213,2010,USA,7879.253,78.6
214,2011,Canada,4228.962,81.4
215,2011,Germany,4566.678,80.5
216,2011,France,4161.698,82.3
217,2011,Great Britain,3495.652,81.0
218,2011,Japan,3740.756,82.7
219,2011,USA,8079.467,78.7
220,2012,Canada,4336.249,81.6
221,2012,Germany,4745.546,80.6
222,2012,France,4299.434,82.1
223,2012,Great Britain,3614.131,81.0
224,2012,Japan,3970.765,83.2
225,2012,USA,8346.064,78.8
226,2013,Canada,4428.753,81.7
227,2013,Germany,4951.677,80.6
228,2013,France,4544.964,82.3
229,2013,Great Britain,3667.636,81.1
230,2013,Japan,4308.252,83.4
231,2013,USA,8519.62,78.8
232,2014,Canada,4536.81,81.8
233,2014,Germany,5151.709,81.2
234,2014,France,4626.679,82.8
235,2014,Great Britain,3758.935,81.4
236,2014,Japan,4328.364,83.7
237,2014,USA,8925.879,78.9
238,2015,Canada,4635.285,81.9
239,2015,Germany,5295.975,80.7
240,2015,France,4667.156,82.4
241,2015,Great Britain,3805.82,81.0
242,2015,Japan,4515.556,83.9
243,2015,USA,9355.118,78.7
244,2016,Canada,5044.275,82.0
245,2016,Germany,5669.064,81.0
246,2016,France,4928.128,82.7
247,2016,Great Britain,3960.141,81.2
248,2016,Japan,4295.858,84.1
249,2016,USA,9717.649,78.7
250,2017,Canada,5150.47,81.9
251,2017,Germany,5970.163,81.1
252,2017,France,5005.756,82.7
253,2017,Great Britain,4059.125,81.3
254,2017,Japan,4412.852,84.2
255,2017,USA,10046.472,78.6
256,2018,Canada,5308.356,82.0
257,2018,Germany,6281.84,81.0
258,2018,France,5099.306,82.8
259,2018,Great Britain,4189.708,81.3
260,2018,Japan,4554.276,84.3
261,2018,USA,10451.386,78.7
262,2019,Canada,5189.721,82.2
263,2019,Germany,6407.928,81.3
264,2019,France,5167.839,82.9
265,2019,Great Britain,4385.463,81.4
266,2019,Japan,4610.794,84.4
267,2019,USA,10855.517,78.8
268,2020,Canada,5828.324,81.7
269,2020,Germany,6938.983,81.1
270,2020,France,5468.418,82.3
271,2020,Great Britain,5018.7,80.4
272,2020,Japan,4665.641,84.7
273,2020,USA,11859.179,77.0
